Location,Farm
17,Farm A
19,Farm A
16,Farm A
20,Farm A
22,Farm A
17,Farm A
26,Farm A
25,Farm A
17,Farm A
13,Farm A
21,Farm A
21,Farm A
20,Farm A
23,Farm A
21,Farm A
17,Farm A
18,Farm A
26,Farm A
19,Farm A
16,Farm A
22,Farm A
17,Farm A
20,Farm A
15,Farm A
14,Farm A
23,Farm A
19,Farm A
25,Farm A
20,Farm A
22,Farm A
21,Farm A
23,Farm A
18,Farm A
23,Farm A
19,Farm A
21,Farm A
25,Farm A
77,Farm B
84,Farm B
78,Farm B
69,Farm B
79,Farm B
79,Farm B
78,Farm B
88,Farm B
77,Farm B
73,Farm B
78,Farm B
78,Farm B
82,Farm B
66,Farm B
81,Farm B
92,Farm B
84,Farm B
82,Farm B
81,Farm B
85,Farm B
91,Farm B
90,Farm B
67,Farm B
71,Farm B
86,Farm B
81,Farm B
81,Farm B
75,Farm B
83,Farm B
92,Farm B
71,Farm B
70,Farm B
84,Farm B
75,Farm B
86,Farm B
82,Farm B
74,Farm B
