Active.time,Treatment
94,14 degree C
98,14 degree C
116,14 degree C
101,14 degree C
101,14 degree C
117,14 degree C
105,14 degree C
87,14 degree C
93,14 degree C
96,14 degree C
112,14 degree C
104,14 degree C
104,14 degree C
101,14 degree C
94,14 degree C
118,14 degree C
105,14 degree C
80,14 degree C
107,14 degree C
95,14 degree C
89,14 degree C
98,14 degree C
90,14 degree C
93,14 degree C
94,14 degree C
83,14 degree C
108,14 degree C
102,14 degree C
89,14 degree C
113,14 degree C
112,18 degree C
117,18 degree C
143,18 degree C
121,18 degree C
122,18 degree C
146,18 degree C
127,18 degree C
101,18 degree C
110,18 degree C
113,18 degree C
138,18 degree C
125,18 degree C
126,18 degree C
122,18 degree C
112,18 degree C
147,18 degree C
127,18 degree C
91,18 degree C
131,18 degree C
113,18 degree C
104,18 degree C
117,18 degree C
105,18 degree C
109,18 degree C
111,18 degree C
95,18 degree C
133,18 degree C
122,18 degree C
103,18 degree C
139,18 degree C
174,22 degree C
178,22 degree C
196,22 degree C
181,22 degree C
181,22 degree C
197,22 degree C
185,22 degree C
167,22 degree C
173,22 degree C
176,22 degree C
192,22 degree C
184,22 degree C
184,22 degree C
181,22 degree C
174,22 degree C
198,22 degree C
185,22 degree C
160,22 degree C
187,22 degree C
175,22 degree C
169,22 degree C
178,22 degree C
170,22 degree C
173,22 degree C
174,22 degree C
163,22 degree C
188,22 degree C
182,22 degree C
169,22 degree C
193,22 degree C
97,26 degree C
99,26 degree C
108,26 degree C
100,26 degree C
101,26 degree C
109,26 degree C
102,26 degree C
94,26 degree C
97,26 degree C
98,26 degree C
106,26 degree C
102,26 degree C
102,26 degree C
101,26 degree C
97,26 degree C
109,26 degree C
102,26 degree C
90,26 degree C
104,26 degree C
98,26 degree C
95,26 degree C
99,26 degree C
95,26 degree C
96,26 degree C
97,26 degree C
92,26 degree C
104,26 degree C
101,26 degree C
94,26 degree C
106,26 degree C
