Location,Microplastics
Geraldton,0
Geraldton,1
Geraldton,2
Geraldton,4
Albany,5
Albany,6
Geraldton,7
Albany,8
Albany,10
Geraldton,10
Albany,11
Albany,11
Shark Bay,11
Geraldton,12
Geraldton,12
Albany,12
Shark Bay,12
Shark Bay,13
Albany,13
Albany,14
Shark Bay,14
Geraldton,14
Albany,14
Albany,14
Shark Bay,16
Shark Bay,16
Shark Bay,16
Shark Bay,16
Albany,18
Fremantle,19
Albany,19
Albany,19
Shark Bay,20
Shark Bay,21
Albany,23
Albany,24
Albany,24
Fremantle,25
Albany,27
Geraldton,27
Geraldton,28
Shark Bay,28
Geraldton,28
Shark Bay,28
Shark Bay,29
Geraldton,29
Albany,30
Albany,30
Geraldton,30
Fremantle,30
Fremantle,31
Geraldton,32
Shark Bay,33
Geraldton,34
Geraldton,35
Fremantle,35
Fremantle,35
Shark Bay,35
Geraldton,35
Shark Bay,35
Fremantle,36
Shark Bay,36
Shark Bay,37
Fremantle,39
Shark Bay,39
Shark Bay,40
Fremantle,41
Fremantle,45
Fremantle,48
Fremantle,50
Fremantle,51
Fremantle,51
Fremantle,53
Fremantle,56
Fremantle,56
Fremantle,56
Fremantle,77
